Date,Open,High,Low,Close,Adj Close,Volume
2012-09-17,99.907143,99.971428,99.230003,699.780029,99.968575,99507800
2012-09-18,99.982857,100.332855,99.488571,701.910034,100.272858,93375800
2012-09-19,100.03714,100.57,99.938568,702.100037,100.300003,81718700
2012-09-20,99.879997,100.008568,99.08857,698.700012,99.814285,84142100
2012-09-21,100.344284,100.724289,99.908569,700.089966,100.012856,142897300
2012-09-24,98.122856,99.302856,97.571426,690.790039,98.684288,159941600
2012-09-25,98.322861,98.968575,96.14286,673.540039,96.220001,129697400
2012-09-26,95.534286,96.098572,94.457146,665.179993,95.025711,144125800
2012-09-27,94.898575,97.452858,94.335716,681.320007,97.331429,148522500
2012-09-28,96.964287,97.30143,95.25,667.100037,95.300003,133777700
2012-10-01,95.879997,96.678574,93.785713,659.390015,94.19857,135898700
2012-10-02,94.544289,95.192856,92.949997,661.309998,94.472855,156998100
2012-10-03,94.980003,95.980003,94.66143,671.449951,95.921425,106070300
2012-10-04,95.89286,96.321426,95.078575,666.799988,95.257141,92681400
2012-10-05,95.028572,95.14286,93.040001,652.589966,93.227142,148501500
2012-10-08,92.41143,92.508568,90.872856,638.170044,91.167145,159498500
2012-10-09,91.235718,91.498573,89.078575,635.850037,90.835716,209649300
2012-10-10,91.391426,92.139999,91,640.909973,91.558571,127589000
2012-10-11,92.35714,92.457146,89.728569,628.099976,89.728569,136520300
2012-10-12,89.937141,90.76857,89.328575,629.710022,89.958572,115003700
2012-10-15,90.335716,90.732857,89.121429,634.76001,90.68,108125500
2012-10-16,90.767143,92.900002,90.14286,649.789978,92.827141,137442900
2012-10-17,92.695717,93.255714,92,644.609985,92.087143,97259400
2012-10-18,91.370003,91.722855,90,632.640015,90.377144,119156100
2012-10-19,90.150002,90.252853,87.08857,609.840027,87.120003,186021500
2012-10-22,87.488571,90.76857,87.251427,634.030029,90.575714,136682700
2012-10-23,90.14286,90.557144,87.385712,613.359985,87.622856,176786400
2012-10-24,88.777145,89.507141,87.234283,616.829956,88.118568,139631800
2012-10-25,88.571426,88.85714,86.507141,609.539978,87.077141,164081400
2012-10-26,87.061432,87.714287,84.428574,604,86.285713,254608200
2012-10-31,84.982857,85.994286,83.957146,595.320007,85.045715,127500800
2012-11-01,85.459999,86.14286,84.881432,596.540039,85.220001,90324500
2012-11-02,85.127144,85.278572,82.10714,576.799988,82.400002,149843400
2012-11-05,83.360001,83.96714,82.514282,584.619995,83.517143,132283900
2012-11-06,84.318573,84.391426,82.870003,582.849976,83.264282,93729300
2012-11-07,81.977142,82.077141,79.39286,558,79.714287,198412200
2012-11-08,80.089996,80.318573,76.470001,537.75,76.821426,264036500
2012-11-09,77.202858,79.26857,76.245712,547.059998,78.151428,232478400
2012-11-12,79.164284,79.214287,76.949997,542.830017,77.547142,128950500
2012-11-13,76.987144,78.639999,76.622856,542.900024,77.557144,133237300
2012-11-14,77.928574,78.207146,76.597145,536.880005,76.697144,119292600
2012-11-15,76.790001,77.071426,74.660004,525.619995,75.08857,197477700
2012-11-16,75.028572,75.714287,72.25,527.679993,75.382858,316723400
2012-11-19,77.244286,81.071426,77.125717,565.72998,80.818573,205829400
2012-11-20,81.701431,81.707146,79.225716,560.909973,80.129997,160688500
2012-11-21,80.60714,81.052856,79.514282,561.700012,80.242859,93250500
2012-11-23,81.024284,81.714287,80.371429,571.5,81.64286,68206600
2012-11-26,82.271431,84.285713,81.958572,589.530029,84.218575,157644900
2012-11-27,84.221428,84.345711,82.871429,584.780029,83.540001,133332500
2012-11-28,82.46714,83.685715,81.751427,582.940002,83.277145,130216100
2012-11-29,84.317146,84.89286,83.60714,589.359985,84.194283,128674700
2012-11-30,83.827141,84.057144,83.239998,585.279968,83.611427,97829900
2012-12-03,84.807144,84.941429,83.64286,586.190002,83.741432,91070000
2012-12-04,83.114288,83.114288,81.732857,575.849976,82.264282,139267100
2012-12-05,81.272858,81.321426,76.96714,538.790039,76.970001,261159500
2012-12-06,75.562859,79.044289,74.089996,547.23999,78.177139,294303100
2012-12-07,79.057144,79.314285,75.714287,533.25,76.178574,196760200
2012-12-10,75,76.93,74.511429,529.819946,75.688568,157621100
2012-12-11,77.110001,78.508568,76.767143,541.390015,77.341431,148086400
2012-12-12,78.252853,78.285713,76.610001,539,77,121786000
2012-12-13,75.878571,76.805717,75.114288,529.690002,75.669998,156314900
2012-12-14,73.535713,74.01857,72.225716,509.789978,72.827141,252394800
2012-12-17,72.704285,74.285713,71.604286,518.829956,74.118568,189401800
2012-12-18,75,76.414284,74.321426,533.900024,76.271431,156421300
2012-12-19,75.924286,76.242859,75.071426,526.309998,75.187141,112342300
2012-12-20,75.714287,75.742859,74.125717,521.730042,74.53286,120422400
2012-12-21,73.209999,74.238571,72.891426,519.330017,74.190002,149067100
2012-12-24,74.335716,74.89286,74.101425,520.169983,74.309998,43938300
2012-12-26,74.14286,74.208572,73.017143,513,73.285713,75609100
2012-12-27,73.362854,73.75,72.094284,515.059998,73.580002,113780100
2012-12-28,72.898575,73.497147,72.58857,509.589966,72.798569,88569600
2012-12-31,72.932854,76.485718,72.714287,532.169983,76.024284,164873100
2013-01-02,79.117142,79.285713,77.375717,549.029968,78.432854,140129500
2013-01-03,78.26857,78.524284,77.285713,542.099976,77.442856,88241300
2013-01-04,76.709999,76.947144,75.118568,527,75.285713,148583400
2013-01-07,74.571426,75.614288,73.599998,523.900024,74.842857,121039100
2013-01-08,75.601425,75.984283,74.464287,525.309998,75.044289,114676800
2013-01-09,74.64286,75.001427,73.71286,517.099976,73.871429,101901100
2013-01-10,75.507141,75.531425,73.645714,523.51001,74.78714,150286500
2013-01-11,74.428574,75.045715,74.145714,520.300049,74.328575,87626700
2013-01-14,71.811432,72.5,71.215714,501.75,71.678574,183551900
2013-01-15,71.185715,71.284286,69.054283,485.920013,69.417145,219193100
2013-01-16,70.662857,72.777145,70.35714,506.089966,72.298569,172701200
2013-01-17,72.901428,72.964287,71.718575,502.680023,71.811432,113419600
2013-01-18,71.21714,71.745712,70.914284,500,71.428574,118230700
2013-01-22,72.080002,72.554283,70.947144,504.77002,72.110001,115386600
2013-01-23,72.687141,73.57,72.110001,514.01001,73.43,215377400
2013-01-24,65.714287,66.53286,64.321426,450.499969,64.35714,365213100
2013-01-25,64.527145,65.175713,62.142857,439.880005,62.84,302006600
2013-01-28,62.547142,64.744286,62.265713,449.830017,64.261429,196379400
2013-01-29,65.5,65.742859,64.58857,458.269989,65.46714,142789500
2013-01-30,65.285713,66.085716,64.928574,456.830017,65.261429,104288800
